Land;WahlkreisNr;Wahlkreis;Bezeichnung;Name;Stimmen;AnteilImWahlkreis;Zuordnung
SH;9; Ostholstein – Stormarn-Nor;Einzelkandidat Schlüter;Schlüter, M;389;0,3;EZB
SH;11; Lübeck;Kerkhoff;Kerkhoff, T;220;0,2;EZB
MV;13; Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;parteienunabhängig;Löwe, Dr. R;2581;1,8;EZB
MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;Sören Krüger;Krüger, S;509;0,3;EZB
HH;18;Hamburg-Mitte;ODIN;Janoske-Kizildag, O;564;0,3;EZB
HH;19;Hamburg-Altona;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATI;Bultheel, B;159;0,1;EZB
NI;24;Aurich – Emden;Internationalistisches Bündnis;Lenz, A;112;0,1;DL (WG IB)
NI;25;Unterems;Internationalistisches Bündnis;Balzer, S;159;0,1;DL (WG IB)
NI;33;Diepholz – Nienburg I;Einzelbewerber Rüdiger Gums Parteilos;Gums, Rüdiger;727;0,5;EZB
NI;37;Lüchow-Dannenberg – Lüneburg;Internationalistisches Bündnis;Großkopf, T;71;0,1;DL (WG IB)
NI;40;Nienburg II – Schaumburg;Weich - parteilos;Weich, H;222;0,2;EZB
NI;43;Hannover-Land I;Internationalistisches Bündnis;Kober, I;66;0;DL (WG IB)
NI;44;Celle – Uelzen;Internationalistisches Bündnis;Schlüter, A;56;0;DL (WG IB)
NI;45;Gifhorn – Peine;Frieden;Neumann, U;103;0,1;EZB
NI;45;Gifhorn – Peine;Internationalistisches Bündnis;Kunick, A;24;0;DL (WG IB)
NI;47;Hannover-Land II;Internationalistische Liste;Göller, W;50;0;DL (WG IB)
NI;48;Hildesheim;Einzelbewerber Wieczorek;Wieczorek, R;30;0;EZB
NI;48;Hildesheim;Internationalistisches Bündnis;Herzig, O;201;0,1;DL (WG IB)
NI;49;Salzgitter – Wolfenbüttel;Andere Perspektiven;Jagau, C;282;0,2;EZB
NI;49;Salzgitter – Wolfenbüttel;Internationalistisches-Bündnis;Deutsch, P;71;0;DL (WG IB)
NI;50;Braunschweig;BIBS;Rosenbaum, P;1359;1;Sonstige (WG BIBS)
NI;50;Braunschweig;DEMOKRATIE FAIR UND DIREKT;Wolter, A;212;0,2;EZB
NI;50;Braunschweig;DUD;Gust, E;62;0;EZB
NI;51;Helmstedt – Wolfsburg;Internationalistisches Bündnis;Kunick, P;63;0;DL (WG IB)
NI;51;Helmstedt – Wolfsburg;Klimaschutz;Wiesenthal, W;200;0,2;EZB
NI;51;Helmstedt – Wolfsburg;OpaBraveheart;Hönig, J;485;0,4;EZB
NI;52;Goslar – Northeim – Osterode;Internationalistisches Bündnis;Schäuble-Leopold, J;58;0;DL (WG IB)
BB;56;Prignitz – Ostprignitz-Ruppin – Havelland I;ehrliche Politik / Transparenz;Glamann, N;498;0,4;EZB
BB;56;Prignitz – Ostprignitz-Ruppin – Havelland I;Wirklich besser regieren, für unser Land und für unsere Zuk;Eckelmann, W;295;0,2;EZB
BB;57;Uckermark – Barnim I;Gesicht zeigen;Buro, J;335;0,3;EZB
BB;57;Uckermark – Barnim I;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE;Graf von Schlippenbach, C;1436;1,1;EZB
BB;59;Märkisch-Oderland – Barnim II;Parteilos;Lorenz, R;2349;1,3;EZB
BB;59;Märkisch-Oderland – Barnim II;Wirtschaftlich-Ökologisch-Familienfreundlich;Schütz, O;788;0,5;EZB
BB;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;für mehr Bürgerbeteiligung;Conrad, C;955;0,7;EZB
