CDU,Christlich Demokratische Union Deutschlands,,1
SPD,Sozialdemokratische Partei Deutschlands,,1
DIE LINKE,DIE LINKE,,1
GRÜNE,BÜNDNIS 90/DIE GRÜNEN,,1
CSU,Christlich-Soziale Union in Bayern e.V.,,1
FDP,Freie Demokratische Partei,,1
AfD,Alternative für Deutschland,,1
PIRATEN,Piratenpartei Deutschland,,1
NPD,Nationaldemokratische Partei Deutschlands,,1
FREIE WÄHLER,FREIE WÄHLER,,1
Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,,1
ÖDP,Ökologisch-Demokratische Partei,,1
Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",,1
BP,Bayernpartei,,1
Volksabstimmung,Ab jetzt…Demokratie durch Volksabstimmung,Politik für die Menschen,1
PDV,Partei der Vernunft,,1
MLPD,Marxistisch-Leninistische Partei Deutschlands,,1
BüSo,Bürgerrechtsbewegung Solidarität,,1
SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",,1
DIE RECHTE,DIE RECHTE,,1
,Allianz Deutscher Demokraten,,1
Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",,1
B*,"bergpartei, die überpartei",ökoanarchistisch-realdadaistisches sammelbecken,1
BGE,Bündnis Grundeinkommen,Die Grundeinkommenspartei,1
DiB,DEMOKRATIE IN BEWEGUNG,,1
DKP,Deutsche Kommunistische Partei,,1
DM,Deutsche Mitte,Politik geht anders…,1
Die Grauen,Die Grauen – Für alle Generationen,,1
du.,Die Urbane. Eine HipHop Partei,,1
MG,Magdeburger Gartenpartei,"ökologisch, sozial und ökonomisch",1
MENSCHLICHE WELT,Menschliche Welt,für das Wohl und Glücklich-Sein aller,1
Die Humanisten,Partei der Humanisten,,1
Gesundheitsforschung,Partei für Gesundheitsforschung,,1
V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",,1
Bündnis C,Bündnis C - Christen für Deutschland,,1
DIE EINHEIT,DIE EINHEIT,,1
DIE VIOLETTEN,Die Violetten,für spirituelle Politik,1
FAMILIE,Familien-Partei Deutschlands,,1
